Time (msec),A/F Sensor #1 (AFR),Fuel Pump Duty (%),Injector Duty Cycle (%),Intake Air Temperature (C),Mass Airflow (g/s),Coolant Temperature (C),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%),A/F Correction #1 (%),Engine Speed (rpm),Target Boost* (psi relative sea level),Manifold Relative Pressure (psi)
0,23.20,66.67,0.00,11,5.72,90,0.00,0.00,0.00,2826,10.06,-11.46
53,23.31,66.67,0.00,11,5.69,90,0.00,0.00,0.00,2820,10.06,-11.46
109,23.31,66.67,0.00,11,5.62,90,0.00,0.00,0.00,2814,10.06,-11.46
164,23.20,66.67,0.00,11,5.65,90,0.00,0.00,0.00,2814,10.06,-11.46
218,23.20,66.67,0.00,11,5.69,90,0.00,0.00,0.00,2807,10.06,-11.46
274,23.20,66.67,0.00,11,5.56,90,0.00,1.96,0.00,2806,11.76,-11.46
328,23.66,66.67,4.15,11,13.24,90,57.25,44.71,0.00,2781,11.76,-7.11
382,23.66,66.67,11.55,11,43.96,90,58.04,72.94,0.00,2850,13.61,-1.02
438,22.97,66.67,14.64,11,44.82,90,60.39,80.00,0.00,2745,11.76,-0.29
493,23.31,66.67,16.12,11,43.83,90,60.78,80.39,0.00,2745,14.54,0.15
548,23.31,66.67,15.45,11,46.29,90,60.78,80.78,0.00,2906,12.38,0.87
604,22.74,66.67,16.63,11,48.11,90,61.18,82.35,0.00,2785,12.99,0.87
657,18.49,66.67,18.03,11,48.11,90,61.18,93.33,0.00,2817,12.99,1.45
711,15.27,66.67,19.04,11,50.38,90,61.96,96.86,0.00,2879,14.23,2.03
767,13.21,100.00,19.86,11,50.99,90,62.35,100.00,0.00,2821,12.99,2.76
822,14.59,100.00,20.80,11,53.51,90,62.35,100.00,0.00,2821,15.31,3.34
876,14.59,100.00,20.10,11,56.30,90,62.75,100.00,0.00,2955,13.61,3.92
931,14.59,100.00,21.32,11,54.56,90,62.75,100.00,0.00,2855,10.52,3.92
985,14.93,100.00,22.11,11,56.85,90,62.75,100.00,0.00,2962,15.47,4.64
1040,14.70,100.00,23.04,11,59.41,90,62.75,100.00,0.00,2919,14.70,5.22
1096,14.93,100.00,24.83,11,62.19,90,63.14,100.00,0.00,2984,15.01,5.95
1151,14.81,100.00,25.13,11,64.67,90,63.53,100.00,0.00,2984,16.55,6.53
1207,14.81,100.00,24.81,11,66.44,90,63.53,100.00,0.00,3020,15.78,7.40
1260,14.81,100.00,26.08,11,70.08,90,63.92,100.00,0.00,2982,17.33,7.40
1315,14.93,100.00,27.48,11,70.56,90,63.92,100.00,0.00,3067,17.33,7.84
1370,14.81,100.00,28.42,11,73.12,90,64.31,100.00,0.00,3028,16.55,8.71
1425,14.70,100.00,29.33,11,74.07,90,64.31,100.00,0.00,3125,17.94,9.29
1480,14.70,100.00,30.20,11,78.50,90,64.71,100.00,0.00,3125,17.33,10.01
1534,14.70,100.00,31.05,11,79.12,90,65.10,100.00,0.00,3078,17.94,10.74
1589,15.04,100.00,31.73,11,83.85,90,65.49,100.00,0.00,3164,17.94,10.74
1644,14.81,100.00,32.40,11,82.53,90,65.49,100.00,0.00,3164,17.94,11.32
1699,14.81,100.00,33.46,11,85.09,90,65.49,100.00,0.00,3201,17.94,11.90
1754,14.93,100.00,33.82,11,87.60,90,65.88,100.00,0.00,3236,17.94,12.48
1811,15.04,100.00,34.49,11,88.68,90,66.27,100.00,0.00,3234,17.94,13.20
