Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),IAM* (raw ecu value),Ignition Total Timing (degrees),Injector Duty Cycle (%),Knock Correction Advance (degrees),Manifold Relative Pressure (Corrected) (psi),Mass Airflow (g/s),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%)
0,4.69,1.56,14.59,0.43,2749,0,0,16,40,7.62,0,-7.25,19.77,13.73,9.41
94,5.47,1.56,14.7,0.42,2770,0,0,16,40,7.68,0,-7.25,19.54,14.51,9.41
157,5.47,1.56,14.7,0.42,2763,0,0,16,40,7.66,0,-7.25,19.54,14.12,9.41
235,5.47,1.56,14.59,0.43,2772,0,0,16,40,7.69,0,-7.25,20.07,14.9,9.41
313,6.25,1.56,14.59,0.5,2780,0,0,16,40,7.71,0,-7.25,20.08,15.29,10.98
391,5.47,1.56,14.59,0.64,2781,0,0,16,39.5,8.31,0,-6.82,23.16,15.29,13.33
516,2.34,1.56,14.36,0.74,2790,0,0,16,35.5,10.12,0,-4.5,29.62,16.47,15.69
594,4.69,1.56,14.01,0.84,2790,0,0,16,34,11.31,0,-3.05,34.33,16.47,19.22
641,7.03,1.56,14.93,1.02,2804,0,0,16,33,13.16,0,-1.02,39.47,16.47,27.45
750,6.25,1.56,14.81,1.08,2829,0,0,16,33,16.3,2,0.15,48.04,16.86,39.22
828,0,0.78,13.67,1.11,2832,0,0,16,29.5,17.52,4.5,0.73,52.6,20,50.98
891,1.56,0.78,13.9,1.14,2846,0,0,16,27,18.82,5.5,1.45,54.71,23.14,60
953,0,0.78,14.24,1.16,2878,0,0,16,25,19.83,5.5,1.89,56.35,26.27,70.2
1078,-11.72,0.78,13.55,1.19,2918,0,0,16,24,19.3,6,2.32,57.97,32.55,72.94
1157,-9.38,0.78,12.4,1.24,2915,0,0,16,23.5,18.03,6.5,2.76,60.31,35.69,74.9
1235,-3.91,0.78,14.01,1.27,2933,0,0,16,22.5,20.02,6.5,3.19,61.88,38.82,75.69
1313,-3.12,-1.56,15.39,1.3,2989,0,0,16,22.5,21.04,7,3.63,64.69,41.96,78.04
1407,-2.34,-1.56,15.04,1.41,2990,0,0,16,21.5,21.69,7,4.06,66.8,45.1,81.18
1485,-10.16,-1.56,14.59,1.37,3010,0,0,16,21,21.83,7,4.93,68.99,48.24,85.88
1563,-15.62,-1.56,13.32,1.42,3028,0,0,16,20.5,20.67,7,5.37,69.36,51.37,89.41
1610,-7.81,-1.56,13.09,1.44,3042,0,0,16,20,20.77,7.5,5.66,72.17,54.51,92.94
1688,0,-1.56,16.08,1.45,3067,0,0,16,19,22.9,7.5,5.95,73.86,57.65,98.04
1750,-2.34,-1.56,15.39,1.48,3104,0,0,16,19,25.17,7.5,6.38,76.95,60.78,99.61
1860,-3.12,-1.56,14.47,1.53,3122,0,0,16,18.5,25.31,8,6.82,79.72,63.92,100
1907,-2.34,-1.56,14.47,1.53,3131,0,0,16,17.5,26.42,8,7.25,80.74,67.06,100
2032,-4.69,-1.56,14.24,1.57,3175,0,0,16,17.5,26.46,8,7.55,83.4,69.8,100
2110,-3.91,-1.56,14.36,1.58,3221,0,0,16,17.5,27.49,8,7.98,84.63,72.55,100
2172,-3.12,-1.56,14.47,1.63,3228,0,0,16,17.5,28.24,8.5,8.27,87.62,72.55,100
2250,-3.12,-1.56,14.59,1.64,3275,0,0,16,17,28.65,8.5,8.71,89.78,72.55,100
2344,-2.34,-1.56,14.59,1.71,3264,0,0,16,16.5,29.24,8.5,9,91.34,72.55,100
2422,-2.34,-1.56,14.59,1.74,3320,0,0,16,16.5,30.45,8.5,9.43,92.9,72.55,100
2469,-2.34,-1.56,14.59,1.71,3354,0,0,16,16.5,30.77,9,10.16,95.4,72.55,100
2547,-2.34,-1.56,14.47,1.75,3362,0,0,16,16.5,30.84,9,10.45,95.86,72.55,100
2625,-1.56,-1.56,14.59,1.79,3396,0,0,16,16.5,31.88,9,10.74,98.88,72.55,100
2719,-2.34,-1.56,14.59,1.79,3415,0,0,16,16,32.78,9,10.88,102.68,72.55,100
2782,-1.56,-1.56,14.47,1.8,3443,0,0,16,16,33.79,9,11.03,103.4,72.55,100
2907,-1.56,-1.56,14.59,1.79,3450,0,0,16,15.5,34.44,9,11.17,104.86,72.55,100
3000,-1.56,-1.56,14.47,1.82,3532,0,0,16,15.5,34.67,9,11.17,107.07,72.55,100
3032,-0.78,-1.56,14.59,1.81,3552,0,0,16,15.5,35.62,9,11.32,107.09,72.55,100
3125,-0.78,-1.56,14.59,1.82,3606,0,0,16,15.5,36.15,9,11.32,109.57,72.55,100
3203,0,-1.56,14.59,1.83,3611,0,0,16,15,36.2,8.5,11.32,110.33,72.55,100
3297,0,-1.56,14.59,1.9,3626,0,0,16,15.5,36.36,8.5,11.32,111.84,72.55,100
3360,-1.56,-1.56,14.36,1.89,3650,0,0,16,15.5,36.59,8.5,11.46,113.64,72.55,100
3469,-0.78,-1.56,14.24,1.85,3676,0,0,16,15.5,37.64,8.5,11.61,115.99,72.55,100
3516,-1.56,-1.56,14.59,1.88,3728,0,0,16,15.5,38.17,8.5,11.61,114.95,72.55,100
3594,-0.78,-1.56,14.47,1.89,3759,0,0,16,15.5,38.49,8,11.61,117.56,72.55,100
3719,-1.56,-1.56,14.47,1.88,3782,0,0,16,15.5,38.73,8,11.61,119.4,72.55,100
3797,-3.12,-1.56,14.24,1.93,3811,0,0,16,15.5,39.02,8,11.75,122.4,72.55,100
3875,-2.34,-1.56,14.47,1.91,3815,0,0,16,16,39.26,8,11.9,121.84,72.55,100
