Time (msec),Engine Load (Calculated) (g/rev),Engine Speed (rpm),IAM* (raw ecu value),Ignition Total Timing (degrees),Injector Duty Cycle (%),Manifold Relative Pressure (Corrected) (psi),Mass Airflow (g/s),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Knock Correction Advance (degrees)
0,0.68,2375,16,37,9.63,-3.63,26.89,3.92,12.55,-0.78,5.47,14.36,0,0,0
78,0.67,2384,16,37.5,9.73,-3.63,27,2.75,12.55,-0.78,5.47,14.36,0,0,0
156,0.66,2401,16,37.5,9.7,-3.77,26.69,2.75,12.55,0,5.47,14.47,0,0,0
234,0.67,2393,16,37.5,9.79,-3.77,27.02,2.75,12.55,-0.78,5.47,14.59,0,0,0
297,0.68,2415,16,37.5,9.8,-3.77,27.22,2.75,12.55,0,5.47,14.59,0,0,0
375,0.67,2422,16,37,9.82,-3.92,27.02,2.75,12.55,0,5.47,14.59,0,0,0
437,0.67,2436,16,37,9.87,-3.92,27.33,2.75,12.55,0.78,5.47,14.59,0,0,0
515,0.67,2441,16,37,9.9,-3.92,27.12,2.75,12.55,0,5.47,14.59,0,0,0
640,0.66,2439,16,37,9.89,-3.92,26.81,2.75,12.55,0,5.47,14.59,0,0,0
719,0.68,2455,16,37,9.95,-3.92,27.65,2.75,12.55,0.78,5.47,14.59,0,0,0
797,0.68,2460,16,37,9.97,-3.92,27.84,3.92,16.08,0.78,5.47,14.59,0,0,0
859,1.1,2462,16,35.5,12.08,-2.61,36.31,4.71,22.75,3.12,5.47,14.93,0,0,0
953,1.2,2478,16,30.5,14.8,-0.58,45.64,6.27,35.69,7.81,5.47,15.62,0,0,5.5
1015,1.17,2509,16,27.5,17.52,0.87,48.78,9.41,49.41,5.47,5.47,15.04,0,0,6
1078,1.18,2488,16,26,15.96,1.6,48.33,12.55,60.39,-9.38,5.47,12.4,0,0,6.5
1187,1.2,2494,16,24.5,16.24,2.32,49.08,15.69,73.73,-5.47,5.47,12.52,0,0,7
1234,1.2,2538,16,23.5,17.35,2.76,50.73,18.82,83.14,-4.69,4.69,13.9,0,0,7
1359,1.21,2541,16,23.5,17.48,2.9,51.68,25.1,89.8,-11.72,4.69,14.36,0,0,7
1453,1.26,2570,16,23,15.9,3.34,53.9,28.24,94.9,-19.53,4.69,12.4,0,0,7
1515,1.27,2558,16,22.5,16.92,3.63,54.07,31.37,98.82,-10.16,3.91,13.32,0,0,7
1594,1.28,2617,16,22.5,18.42,3.77,55.69,34.51,100,-5.47,3.91,14.81,0,0,7
